GEO,SAT_NAME,ACCESS_START,ACCESS_END,DURATION,DURATION_SECONDS,LAT,LON
19N153E,CAPELLA-2,2023-02-01 03:45:00,2023-02-01 03:51:00,0 days 00:06:00,360.0,19,-153
19N153E,CAPELLA-2,2023-02-01 05:20:00,2023-02-01 05:30:00,0 days 00:10:00,600.0,19,-153
19N153E,CAPELLA-2,2023-02-01 06:58:00,2023-02-01 07:06:00,0 days 00:08:00,480.0,19,-153
19N153E,CAPELLA-2,2023-02-01 18:38:00,2023-02-01 18:45:00,0 days 00:07:00,420.0,19,-153
19N153E,CAPELLA-2,2023-02-01 20:13:00,2023-02-01 20:23:00,0 days 00:10:00,600.0,19,-153
19N153E,CAPELLA-2,2023-02-01 21:52:00,2023-02-01 21:59:00,0 days 00:07:00,420.0,19,-153
19N153E,CAPELLA-2,2023-02-02 04:25:00,2023-02-02 04:34:00,0 days 00:09:00,540.0,19,-153
19N153E,CAPELLA-2,2023-02-02 06:01:00,2023-02-02 06:11:00,0 days 00:10:00,600.0,19,-153
19N153E,CAPELLA-2,2023-02-02 19:17:00,2023-02-02 19:27:00,0 days 00:10:00,600.0,19,-153
19N153E,CAPELLA-2,2023-02-02 20:54:00,2023-02-02 21:03:00,0 days 00:09:00,540.0,19,-153
19N153E,CAPELLA-2,2023-02-03 03:29:00,2023-02-03 03:37:00,0 days 00:08:00,480.0,19,-153
19N153E,CAPELLA-2,2023-02-03 05:05:00,2023-02-03 05:15:00,0 days 00:10:00,600.0,19,-153
19N153E,CAPELLA-2,2023-02-03 06:45:00,2023-02-03 06:47:00,0 days 00:02:00,120.0,19,-153
19N153E,CAPELLA-2,2023-02-03 18:21:00,2023-02-03 18:30:00,0 days 00:09:00,540.0,19,-153
19N153E,CAPELLA-2,2023-02-03 19:57:00,2023-02-03 20:07:00,0 days 00:10:00,600.0,19,-153
19N153E,CAPELLA-2,2023-02-03 21:38:00,2023-02-03 21:41:00,0 days 00:03:00,180.0,19,-153
19N153E,CAPELLA-2,2023-02-04 02:33:00,2023-02-04 02:39:00,0 days 00:06:00,360.0,19,-153
19N153E,CAPELLA-2,2023-02-04 04:08:00,2023-02-04 04:18:00,0 days 00:10:00,600.0,19,-153
19N153E,CAPELLA-2,2023-02-04 05:46:00,2023-02-04 05:53:00,0 days 00:07:00,420.0,19,-153
19N153E,CAPELLA-2,2023-02-04 17:25:00,2023-02-04 17:32:00,0 days 00:07:00,420.0,19,-153
19N153E,CAPELLA-2,2023-02-04 19:00:00,2023-02-04 19:10:00,0 days 00:10:00,600.0,19,-153
19N153E,CAPELLA-2,2023-02-04 20:39:00,2023-02-04 20:45:00,0 days 00:06:00,360.0,19,-153
19N153E,CAPELLA-2,2023-02-05 01:37:00,2023-02-05 01:39:00,0 days 00:02:00,120.0,19,-153
19N153E,CAPELLA-2,2023-02-05 03:11:00,2023-02-05 03:21:00,0 days 00:10:00,600.0,19,-153
19N153E,CAPELLA-2,2023-02-05 04:47:00,2023-02-05 04:57:00,0 days 00:10:00,600.0,19,-153
19N153E,CAPELLA-2,2023-02-05 18:02:00,2023-02-05 18:12:00,0 days 00:10:00,600.0,19,-153
19N153E,CAPELLA-2,2023-02-05 19:40:00,2023-02-05 19:48:00,0 days 00:08:00,480.0,19,-153
19N153E,CAPELLA-2,2023-02-06 02:13:00,2023-02-06 02:22:00,0 days 00:09:00,540.0,19,-153
19N153E,CAPELLA-2,2023-02-06 03:49:00,2023-02-06 04:00:00,0 days 00:11:00,660.0,19,-153
19N153E,CAPELLA-2,2023-02-06 05:30:00,2023-02-06 05:31:00,0 days 00:01:00,60.0,19,-153
19N153E,CAPELLA-2,2023-02-06 17:04:00,2023-02-06 17:14:00,0 days 00:10:00,600.0,19,-153
19N153E,CAPELLA-2,2023-02-06 18:41:00,2023-02-06 18:51:00,0 days 00:10:00,600.0,19,-153
19N153E,CAPELLA-2,2023-02-06 20:22:00,2023-02-06 20:24:00,0 days 00:02:00,120.0,19,-153
19N153E,CAPELLA-2,2023-02-07 01:16:00,2023-02-07 01:22:00,0 days 00:06:00,360.0,19,-153
19N153E,CAPELLA-2,2023-02-07 02:51:00,2023-02-07 03:01:00,0 days 00:10:00,600.0,19,-153
19N153E,CAPELLA-2,2023-02-07 04:29:00,2023-02-07 04:36:00,0 days 00:07:00,420.0,19,-153
19N153E,CAPELLA-2,2023-02-07 16:07:00,2023-02-07 16:14:00,0 days 00:07:00,420.0,19,-153
19N153E,CAPELLA-2,2023-02-07 17:41:00,2023-02-07 17:52:00,0 days 00:11:00,660.0,19,-153
19N153E,CAPELLA-2,2023-02-07 19:20:00,2023-02-07 19:27:00,0 days 00:07:00,420.0,19,-153
19N153E,CAPELLA-2,2023-02-08 00:19:00,2023-02-08 00:20:00,0 days 00:01:00,60.0,19,-153
19N153E,CAPELLA-2,2023-02-08 01:52:00,2023-02-08 02:02:00,0 days 00:10:00,600.0,19,-153
19N153E,CAPELLA-2,2023-02-08 03:28:00,2023-02-08 03:38:00,0 days 00:10:00,600.0,19,-153
19N153E,CAPELLA-2,2023-02-08 16:42:00,2023-02-08 16:52:00,0 days 00:10:00,600.0,19,-153
19N153E,CAPELLA-2,2023-02-08 18:19:00,2023-02-08 18:28:00,0 days 00:09:00,540.0,19,-153
19N153E,CAPELLA-2,2023-02-09 00:52:00,2023-02-09 01:01:00,0 days 00:09:00,540.0,19,-153
19N153E,CAPELLA-2,2023-02-09 02:28:00,2023-02-09 02:38:00,0 days 00:10:00,600.0,19,-153
19N153E,CAPELLA-2,2023-02-09 04:08:00,2023-02-09 04:10:00,0 days 00:02:00,120.0,19,-153
19N153E,CAPELLA-2,2023-02-09 15:42:00,2023-02-09 15:51:00,0 days 00:09:00,540.0,19,-153
19N153E,CAPELLA-2,2023-02-09 17:18:00,2023-02-09 17:28:00,0 days 00:10:00,600.0,19,-153
19N153E,CAPELLA-2,2023-02-09 18:59:00,2023-02-09 19:01:00,0 days 00:02:00,120.0,19,-153
19N153E,CAPELLA-2,2023-02-09 23:52:00,2023-02-09 23:58:00,0 days 00:06:00,360.0,19,-153
