GEO,SAT_NAME,ACCESS_START,ACCESS_END,DURATION,DURATION_SECONDS,LAT,LON
23N151E,CAPELLA-2,2023-02-01 03:44:00,2023-02-01 03:52:00,0 days 00:08:00,480.0,23,-151
23N151E,CAPELLA-2,2023-02-01 05:20:00,2023-02-01 05:30:00,0 days 00:10:00,600.0,23,-151
23N151E,CAPELLA-2,2023-02-01 06:58:00,2023-02-01 07:04:00,0 days 00:06:00,360.0,23,-151
23N151E,CAPELLA-2,2023-02-01 18:40:00,2023-02-01 18:46:00,0 days 00:06:00,360.0,23,-151
23N151E,CAPELLA-2,2023-02-01 20:14:00,2023-02-01 20:25:00,0 days 00:11:00,660.0,23,-151
23N151E,CAPELLA-2,2023-02-01 21:52:00,2023-02-01 22:00:00,0 days 00:08:00,480.0,23,-151
23N151E,CAPELLA-2,2023-02-02 02:48:00,2023-02-02 02:55:00,0 days 00:07:00,420.0,23,-151
23N151E,CAPELLA-2,2023-02-02 04:24:00,2023-02-02 04:34:00,0 days 00:10:00,600.0,23,-151
23N151E,CAPELLA-2,2023-02-02 06:01:00,2023-02-02 06:10:00,0 days 00:09:00,540.0,23,-151
23N151E,CAPELLA-2,2023-02-02 19:18:00,2023-02-02 19:28:00,0 days 00:10:00,600.0,23,-151
23N151E,CAPELLA-2,2023-02-02 20:55:00,2023-02-02 21:05:00,0 days 00:10:00,600.0,23,-151
23N151E,CAPELLA-2,2023-02-02 22:36:00,2023-02-02 22:39:00,0 days 00:03:00,180.0,23,-151
23N151E,CAPELLA-2,2023-02-03 01:53:00,2023-02-03 01:57:00,0 days 00:04:00,240.0,23,-151
23N151E,CAPELLA-2,2023-02-03 03:28:00,2023-02-03 03:38:00,0 days 00:10:00,600.0,23,-151
23N151E,CAPELLA-2,2023-02-03 05:04:00,2023-02-03 05:14:00,0 days 00:10:00,600.0,23,-151
23N151E,CAPELLA-2,2023-02-03 18:22:00,2023-02-03 18:31:00,0 days 00:09:00,540.0,23,-151
23N151E,CAPELLA-2,2023-02-03 19:58:00,2023-02-03 20:08:00,0 days 00:10:00,600.0,23,-151
23N151E,CAPELLA-2,2023-02-03 21:37:00,2023-02-03 21:44:00,0 days 00:07:00,420.0,23,-151
23N151E,CAPELLA-2,2023-02-04 02:31:00,2023-02-04 02:40:00,0 days 00:09:00,540.0,23,-151
23N151E,CAPELLA-2,2023-02-04 04:07:00,2023-02-04 04:18:00,0 days 00:11:00,660.0,23,-151
23N151E,CAPELLA-2,2023-02-04 05:47:00,2023-02-04 05:51:00,0 days 00:04:00,240.0,23,-151
23N151E,CAPELLA-2,2023-02-04 17:26:00,2023-02-04 17:33:00,0 days 00:07:00,420.0,23,-151
23N151E,CAPELLA-2,2023-02-04 19:01:00,2023-02-04 19:11:00,0 days 00:10:00,600.0,23,-151
23N151E,CAPELLA-2,2023-02-04 20:39:00,2023-02-04 20:47:00,0 days 00:08:00,480.0,23,-151
23N151E,CAPELLA-2,2023-02-05 01:35:00,2023-02-05 01:42:00,0 days 00:07:00,420.0,23,-151
23N151E,CAPELLA-2,2023-02-05 03:10:00,2023-02-05 03:21:00,0 days 00:11:00,660.0,23,-151
23N151E,CAPELLA-2,2023-02-05 04:48:00,2023-02-05 04:56:00,0 days 00:08:00,480.0,23,-151
23N151E,CAPELLA-2,2023-02-05 18:03:00,2023-02-05 18:13:00,0 days 00:10:00,600.0,23,-151
23N151E,CAPELLA-2,2023-02-05 19:40:00,2023-02-05 19:50:00,0 days 00:10:00,600.0,23,-151
23N151E,CAPELLA-2,2023-02-05 21:21:00,2023-02-05 21:24:00,0 days 00:03:00,180.0,23,-151
23N151E,CAPELLA-2,2023-02-06 00:38:00,2023-02-06 00:42:00,0 days 00:04:00,240.0,23,-151
23N151E,CAPELLA-2,2023-02-06 02:12:00,2023-02-06 02:22:00,0 days 00:10:00,600.0,23,-151
23N151E,CAPELLA-2,2023-02-06 03:49:00,2023-02-06 03:59:00,0 days 00:10:00,600.0,23,-151
23N151E,CAPELLA-2,2023-02-06 17:06:00,2023-02-06 17:15:00,0 days 00:09:00,540.0,23,-151
23N151E,CAPELLA-2,2023-02-06 18:42:00,2023-02-06 18:52:00,0 days 00:10:00,600.0,23,-151
23N151E,CAPELLA-2,2023-02-06 20:21:00,2023-02-06 20:27:00,0 days 00:06:00,360.0,23,-151
23N151E,CAPELLA-2,2023-02-07 01:14:00,2023-02-07 01:23:00,0 days 00:09:00,540.0,23,-151
23N151E,CAPELLA-2,2023-02-07 02:50:00,2023-02-07 03:01:00,0 days 00:11:00,660.0,23,-151
23N151E,CAPELLA-2,2023-02-07 04:30:00,2023-02-07 04:34:00,0 days 00:04:00,240.0,23,-151
23N151E,CAPELLA-2,2023-02-07 16:08:00,2023-02-07 16:15:00,0 days 00:07:00,420.0,23,-151
23N151E,CAPELLA-2,2023-02-07 17:42:00,2023-02-07 17:53:00,0 days 00:11:00,660.0,23,-151
23N151E,CAPELLA-2,2023-02-07 19:21:00,2023-02-07 19:29:00,0 days 00:08:00,480.0,23,-151
23N151E,CAPELLA-2,2023-02-08 00:16:00,2023-02-08 00:23:00,0 days 00:07:00,420.0,23,-151
23N151E,CAPELLA-2,2023-02-08 01:51:00,2023-02-08 02:02:00,0 days 00:11:00,660.0,23,-151
23N151E,CAPELLA-2,2023-02-08 03:29:00,2023-02-08 03:37:00,0 days 00:08:00,480.0,23,-151
23N151E,CAPELLA-2,2023-02-08 16:43:00,2023-02-08 16:53:00,0 days 00:10:00,600.0,23,-151
23N151E,CAPELLA-2,2023-02-08 18:20:00,2023-02-08 18:29:00,0 days 00:09:00,540.0,23,-151
23N151E,CAPELLA-2,2023-02-08 20:01:00,2023-02-08 20:04:00,0 days 00:03:00,180.0,23,-151
23N151E,CAPELLA-2,2023-02-08 23:17:00,2023-02-08 23:21:00,0 days 00:04:00,240.0,23,-151
23N151E,CAPELLA-2,2023-02-09 00:51:00,2023-02-09 01:01:00,0 days 00:10:00,600.0,23,-151
23N151E,CAPELLA-2,2023-02-09 02:28:00,2023-02-09 02:38:00,0 days 00:10:00,600.0,23,-151
23N151E,CAPELLA-2,2023-02-09 15:43:00,2023-02-09 15:52:00,0 days 00:09:00,540.0,23,-151
23N151E,CAPELLA-2,2023-02-09 17:19:00,2023-02-09 17:29:00,0 days 00:10:00,600.0,23,-151
23N151E,CAPELLA-2,2023-02-09 18:58:00,2023-02-09 19:04:00,0 days 00:06:00,360.0,23,-151
23N151E,CAPELLA-2,2023-02-09 23:51:00,2023-02-09 23:59:00,0 days 00:08:00,480.0,23,-151
23N151E,CAPELLA-2,2023-02-10 01:27:00,2023-02-10 01:37:00,0 days 00:10:00,600.0,23,-151
23N151E,CAPELLA-2,2023-02-10 03:05:00,2023-02-10 03:10:00,0 days 00:05:00,300.0,23,-151
23N151E,CAPELLA-2,2023-02-10 14:44:00,2023-02-10 14:49:00,0 days 00:05:00,300.0,23,-151
23N151E,CAPELLA-2,2023-02-10 16:17:00,2023-02-10 16:27:00,0 days 00:10:00,600.0,23,-151
23N151E,CAPELLA-2,2023-02-10 17:55:00,2023-02-10 18:03:00,0 days 00:08:00,480.0,23,-151
23N151E,CAPELLA-2,2023-02-10 22:50:00,2023-02-10 22:56:00,0 days 00:06:00,360.0,23,-151
23N151E,CAPELLA-2,2023-02-11 00:25:00,2023-02-11 00:35:00,0 days 00:10:00,600.0,23,-151
23N151E,CAPELLA-2,2023-02-11 02:02:00,2023-02-11 02:10:00,0 days 00:08:00,480.0,23,-151
23N151E,CAPELLA-2,2023-02-11 15:15:00,2023-02-11 15:24:00,0 days 00:09:00,540.0,23,-151
23N151E,CAPELLA-2,2023-02-11 16:51:00,2023-02-11 17:01:00,0 days 00:10:00,600.0,23,-151
23N151E,CAPELLA-2,2023-02-11 18:31:00,2023-02-11 18:35:00,0 days 00:04:00,240.0,23,-151
23N151E,CAPELLA-2,2023-02-11 21:48:00,2023-02-11 21:50:00,0 days 00:02:00,120.0,23,-151
23N151E,CAPELLA-2,2023-02-11 23:22:00,2023-02-11 23:31:00,0 days 00:09:00,540.0,23,-151
23N151E,CAPELLA-2,2023-02-12 00:58:00,2023-02-12 01:08:00,0 days 00:10:00,600.0,23,-151
23N151E,CAPELLA-2,2023-02-12 14:12:00,2023-02-12 14:20:00,0 days 00:08:00,480.0,23,-151
