GEO,SAT_NAME,ACCESS_START,ACCESS_END,DURATION,DURATION_SECONDS,LAT,LON
26N156E,CAPELLA-2,2023-02-01 00:27:00,2023-02-01 00:32:00,0 days 00:05:00,300.0,26,-156
26N156E,CAPELLA-2,2023-02-01 02:06:00,2023-02-01 02:10:00,0 days 00:04:00,240.0,26,-156
26N156E,CAPELLA-2,2023-02-01 03:42:00,2023-02-01 03:51:00,0 days 00:09:00,540.0,26,-156
26N156E,CAPELLA-2,2023-02-01 05:18:00,2023-02-01 05:29:00,0 days 00:11:00,660.0,26,-156
26N156E,CAPELLA-2,2023-02-01 06:56:00,2023-02-01 07:03:00,0 days 00:07:00,420.0,26,-156
26N156E,CAPELLA-2,2023-02-01 20:14:00,2023-02-01 20:24:00,0 days 00:10:00,600.0,26,-156
26N156E,CAPELLA-2,2023-02-01 21:51:00,2023-02-01 22:01:00,0 days 00:10:00,600.0,26,-156
26N156E,CAPELLA-2,2023-02-01 23:30:00,2023-02-01 23:36:00,0 days 00:06:00,360.0,26,-156
26N156E,CAPELLA-2,2023-02-02 01:10:00,2023-02-02 01:13:00,0 days 00:03:00,180.0,26,-156
26N156E,CAPELLA-2,2023-02-02 02:47:00,2023-02-02 02:54:00,0 days 00:07:00,420.0,26,-156
26N156E,CAPELLA-2,2023-02-02 04:22:00,2023-02-02 04:33:00,0 days 00:11:00,660.0,26,-156
26N156E,CAPELLA-2,2023-02-02 06:00:00,2023-02-02 06:09:00,0 days 00:09:00,540.0,26,-156
26N156E,CAPELLA-2,2023-02-02 19:18:00,2023-02-02 19:27:00,0 days 00:09:00,540.0,26,-156
26N156E,CAPELLA-2,2023-02-02 20:54:00,2023-02-02 21:05:00,0 days 00:11:00,660.0,26,-156
26N156E,CAPELLA-2,2023-02-02 22:33:00,2023-02-02 22:40:00,0 days 00:07:00,420.0,26,-156
26N156E,CAPELLA-2,2023-02-03 00:14:00,2023-02-03 00:16:00,0 days 00:02:00,120.0,26,-156
26N156E,CAPELLA-2,2023-02-03 01:51:00,2023-02-03 01:56:00,0 days 00:05:00,300.0,26,-156
26N156E,CAPELLA-2,2023-02-03 03:26:00,2023-02-03 03:36:00,0 days 00:10:00,600.0,26,-156
26N156E,CAPELLA-2,2023-02-03 05:03:00,2023-02-03 05:13:00,0 days 00:10:00,600.0,26,-156
26N156E,CAPELLA-2,2023-02-03 18:23:00,2023-02-03 18:30:00,0 days 00:07:00,420.0,26,-156
26N156E,CAPELLA-2,2023-02-03 19:57:00,2023-02-03 20:08:00,0 days 00:11:00,660.0,26,-156
26N156E,CAPELLA-2,2023-02-03 21:35:00,2023-02-03 21:44:00,0 days 00:09:00,540.0,26,-156
26N156E,CAPELLA-2,2023-02-03 23:16:00,2023-02-03 23:20:00,0 days 00:04:00,240.0,26,-156
26N156E,CAPELLA-2,2023-02-04 00:54:00,2023-02-04 00:58:00,0 days 00:04:00,240.0,26,-156
26N156E,CAPELLA-2,2023-02-04 02:30:00,2023-02-04 02:39:00,0 days 00:09:00,540.0,26,-156
26N156E,CAPELLA-2,2023-02-04 04:06:00,2023-02-04 04:16:00,0 days 00:10:00,600.0,26,-156
26N156E,CAPELLA-2,2023-02-04 05:44:00,2023-02-04 05:51:00,0 days 00:07:00,420.0,26,-156
26N156E,CAPELLA-2,2023-02-04 19:00:00,2023-02-04 19:11:00,0 days 00:11:00,660.0,26,-156
26N156E,CAPELLA-2,2023-02-04 20:37:00,2023-02-04 20:47:00,0 days 00:10:00,600.0,26,-156
26N156E,CAPELLA-2,2023-02-04 22:17:00,2023-02-04 22:23:00,0 days 00:06:00,360.0,26,-156
26N156E,CAPELLA-2,2023-02-04 23:57:00,2023-02-05 00:00:00,0 days 00:03:00,180.0,26,-156
26N156E,CAPELLA-2,2023-02-05 01:33:00,2023-02-05 01:40:00,0 days 00:07:00,420.0,26,-156
26N156E,CAPELLA-2,2023-02-05 03:09:00,2023-02-05 03:19:00,0 days 00:10:00,600.0,26,-156
26N156E,CAPELLA-2,2023-02-05 04:46:00,2023-02-05 04:55:00,0 days 00:09:00,540.0,26,-156
26N156E,CAPELLA-2,2023-02-05 18:03:00,2023-02-05 18:13:00,0 days 00:10:00,600.0,26,-156
26N156E,CAPELLA-2,2023-02-05 19:39:00,2023-02-05 19:50:00,0 days 00:11:00,660.0,26,-156
26N156E,CAPELLA-2,2023-02-05 21:18:00,2023-02-05 21:25:00,0 days 00:07:00,420.0,26,-156
26N156E,CAPELLA-2,2023-02-05 22:59:00,2023-02-05 23:01:00,0 days 00:02:00,120.0,26,-156
26N156E,CAPELLA-2,2023-02-06 00:35:00,2023-02-06 00:41:00,0 days 00:06:00,360.0,26,-156
26N156E,CAPELLA-2,2023-02-06 02:11:00,2023-02-06 02:21:00,0 days 00:10:00,600.0,26,-156
26N156E,CAPELLA-2,2023-02-06 03:48:00,2023-02-06 03:58:00,0 days 00:10:00,600.0,26,-156
26N156E,CAPELLA-2,2023-02-06 17:07:00,2023-02-06 17:13:00,0 days 00:06:00,360.0,26,-156
26N156E,CAPELLA-2,2023-02-06 18:41:00,2023-02-06 18:52:00,0 days 00:11:00,660.0,26,-156
26N156E,CAPELLA-2,2023-02-06 20:19:00,2023-02-06 20:28:00,0 days 00:09:00,540.0,26,-156
26N156E,CAPELLA-2,2023-02-06 21:59:00,2023-02-06 22:03:00,0 days 00:04:00,240.0,26,-156
26N156E,CAPELLA-2,2023-02-06 23:37:00,2023-02-06 23:42:00,0 days 00:05:00,300.0,26,-156
26N156E,CAPELLA-2,2023-02-07 01:13:00,2023-02-07 01:22:00,0 days 00:09:00,540.0,26,-156
