GEO,SAT_NAME,ACCESS_START,ACCESS_END,DURATION,DURATION_SECONDS,LAT,LON
21N165E,CAPELLA-2,2023-02-01 05:18:00,2023-02-01 05:27:00,0 days 00:09:00,540.0,21,-165
21N165E,CAPELLA-2,2023-02-01 06:54:00,2023-02-01 07:04:00,0 days 00:10:00,600.0,21,-165
21N165E,CAPELLA-2,2023-02-01 20:11:00,2023-02-01 20:21:00,0 days 00:10:00,600.0,21,-165
21N165E,CAPELLA-2,2023-02-01 21:48:00,2023-02-01 21:58:00,0 days 00:10:00,600.0,21,-165
21N165E,CAPELLA-2,2023-02-01 23:28:00,2023-02-01 23:33:00,0 days 00:05:00,300.0,21,-165
21N165E,CAPELLA-2,2023-02-02 04:22:00,2023-02-02 04:30:00,0 days 00:08:00,480.0,21,-165
21N165E,CAPELLA-2,2023-02-02 05:58:00,2023-02-02 06:09:00,0 days 00:11:00,660.0,21,-165
21N165E,CAPELLA-2,2023-02-02 07:37:00,2023-02-02 07:43:00,0 days 00:06:00,360.0,21,-165
21N165E,CAPELLA-2,2023-02-02 19:16:00,2023-02-02 19:24:00,0 days 00:08:00,480.0,21,-165
21N165E,CAPELLA-2,2023-02-02 20:51:00,2023-02-02 21:02:00,0 days 00:11:00,660.0,21,-165
21N165E,CAPELLA-2,2023-02-02 22:30:00,2023-02-02 22:38:00,0 days 00:08:00,480.0,21,-165
21N165E,CAPELLA-2,2023-02-03 03:27:00,2023-02-03 03:33:00,0 days 00:06:00,360.0,21,-165
21N165E,CAPELLA-2,2023-02-03 05:02:00,2023-02-03 05:12:00,0 days 00:10:00,600.0,21,-165
21N165E,CAPELLA-2,2023-02-03 06:39:00,2023-02-03 06:48:00,0 days 00:09:00,540.0,21,-165
21N165E,CAPELLA-2,2023-02-03 18:22:00,2023-02-03 18:26:00,0 days 00:04:00,240.0,21,-165
21N165E,CAPELLA-2,2023-02-03 19:55:00,2023-02-03 20:05:00,0 days 00:10:00,600.0,21,-165
21N165E,CAPELLA-2,2023-02-03 21:33:00,2023-02-03 21:41:00,0 days 00:08:00,480.0,21,-165
21N165E,CAPELLA-2,2023-02-04 02:32:00,2023-02-04 02:34:00,0 days 00:02:00,120.0,21,-165
21N165E,CAPELLA-2,2023-02-04 04:05:00,2023-02-04 04:15:00,0 days 00:10:00,600.0,21,-165
21N165E,CAPELLA-2,2023-02-04 05:42:00,2023-02-04 05:52:00,0 days 00:10:00,600.0,21,-165
21N165E,CAPELLA-2,2023-02-04 18:58:00,2023-02-04 19:08:00,0 days 00:10:00,600.0,21,-165
21N165E,CAPELLA-2,2023-02-04 20:35:00,2023-02-04 20:45:00,0 days 00:10:00,600.0,21,-165
21N165E,CAPELLA-2,2023-02-04 22:15:00,2023-02-04 22:19:00,0 days 00:04:00,240.0,21,-165
21N165E,CAPELLA-2,2023-02-05 03:09:00,2023-02-05 03:17:00,0 days 00:08:00,480.0,21,-165
21N165E,CAPELLA-2,2023-02-05 04:44:00,2023-02-05 04:55:00,0 days 00:11:00,660.0,21,-165
21N165E,CAPELLA-2,2023-02-05 06:24:00,2023-02-05 06:28:00,0 days 00:04:00,240.0,21,-165
21N165E,CAPELLA-2,2023-02-05 18:02:00,2023-02-05 18:10:00,0 days 00:08:00,480.0,21,-165
21N165E,CAPELLA-2,2023-02-05 19:37:00,2023-02-05 19:47:00,0 days 00:10:00,600.0,21,-165
21N165E,CAPELLA-2,2023-02-05 21:16:00,2023-02-05 21:22:00,0 days 00:06:00,360.0,21,-165
21N165E,CAPELLA-2,2023-02-06 02:12:00,2023-02-06 02:18:00,0 days 00:06:00,360.0,21,-165
21N165E,CAPELLA-2,2023-02-06 03:47:00,2023-02-06 03:57:00,0 days 00:10:00,600.0,21,-165
21N165E,CAPELLA-2,2023-02-06 05:24:00,2023-02-06 05:32:00,0 days 00:08:00,480.0,21,-165
21N165E,CAPELLA-2,2023-02-06 17:06:00,2023-02-06 17:09:00,0 days 00:03:00,180.0,21,-165
21N165E,CAPELLA-2,2023-02-06 18:38:00,2023-02-06 18:49:00,0 days 00:11:00,660.0,21,-165
21N165E,CAPELLA-2,2023-02-06 20:16:00,2023-02-06 20:25:00,0 days 00:09:00,540.0,21,-165
21N165E,CAPELLA-2,2023-02-07 01:15:00,2023-02-07 01:17:00,0 days 00:02:00,120.0,21,-165
21N165E,CAPELLA-2,2023-02-07 02:49:00,2023-02-07 02:58:00,0 days 00:09:00,540.0,21,-165
21N165E,CAPELLA-2,2023-02-07 04:25:00,2023-02-07 04:35:00,0 days 00:10:00,600.0,21,-165
21N165E,CAPELLA-2,2023-02-07 17:40:00,2023-02-07 17:50:00,0 days 00:10:00,600.0,21,-165
21N165E,CAPELLA-2,2023-02-07 19:16:00,2023-02-07 19:26:00,0 days 00:10:00,600.0,21,-165
21N165E,CAPELLA-2,2023-02-07 20:57:00,2023-02-07 21:00:00,0 days 00:03:00,180.0,21,-165
21N165E,CAPELLA-2,2023-02-08 01:50:00,2023-02-08 01:58:00,0 days 00:08:00,480.0,21,-165
21N165E,CAPELLA-2,2023-02-08 03:25:00,2023-02-08 03:36:00,0 days 00:11:00,660.0,21,-165
21N165E,CAPELLA-2,2023-02-08 05:05:00,2023-02-08 05:09:00,0 days 00:04:00,240.0,21,-165
21N165E,CAPELLA-2,2023-02-08 16:41:00,2023-02-08 16:49:00,0 days 00:08:00,480.0,21,-165
21N165E,CAPELLA-2,2023-02-08 18:16:00,2023-02-08 18:27:00,0 days 00:11:00,660.0,21,-165
21N165E,CAPELLA-2,2023-02-08 19:55:00,2023-02-08 20:02:00,0 days 00:07:00,420.0,21,-165
21N165E,CAPELLA-2,2023-02-09 00:51:00,2023-02-09 00:57:00,0 days 00:06:00,360.0,21,-165
21N165E,CAPELLA-2,2023-02-09 02:25:00,2023-02-09 02:36:00,0 days 00:11:00,660.0,21,-165
21N165E,CAPELLA-2,2023-02-09 04:03:00,2023-02-09 04:11:00,0 days 00:08:00,480.0,21,-165
21N165E,CAPELLA-2,2023-02-09 15:44:00,2023-02-09 15:46:00,0 days 00:02:00,120.0,21,-165
21N165E,CAPELLA-2,2023-02-09 17:16:00,2023-02-09 17:26:00,0 days 00:10:00,600.0,21,-165
21N165E,CAPELLA-2,2023-02-09 18:53:00,2023-02-09 19:02:00,0 days 00:09:00,540.0,21,-165
21N165E,CAPELLA-2,2023-02-10 01:25:00,2023-02-10 01:34:00,0 days 00:09:00,540.0,21,-165
21N165E,CAPELLA-2,2023-02-10 03:01:00,2023-02-10 03:11:00,0 days 00:10:00,600.0,21,-165
21N165E,CAPELLA-2,2023-02-10 16:15:00,2023-02-10 16:24:00,0 days 00:09:00,540.0,21,-165
21N165E,CAPELLA-2,2023-02-10 17:51:00,2023-02-10 18:01:00,0 days 00:10:00,600.0,21,-165
21N165E,CAPELLA-2,2023-02-10 19:31:00,2023-02-10 19:35:00,0 days 00:04:00,240.0,21,-165
21N165E,CAPELLA-2,2023-02-11 00:23:00,2023-02-11 00:31:00,0 days 00:08:00,480.0,21,-165
21N165E,CAPELLA-2,2023-02-11 01:59:00,2023-02-11 02:09:00,0 days 00:10:00,600.0,21,-165
21N165E,CAPELLA-2,2023-02-11 03:37:00,2023-02-11 03:43:00,0 days 00:06:00,360.0,21,-165
21N165E,CAPELLA-2,2023-02-11 15:14:00,2023-02-11 15:20:00,0 days 00:06:00,360.0,21,-165
21N165E,CAPELLA-2,2023-02-11 16:48:00,2023-02-11 16:58:00,0 days 00:10:00,600.0,21,-165
21N165E,CAPELLA-2,2023-02-11 18:26:00,2023-02-11 18:33:00,0 days 00:07:00,420.0,21,-165
21N165E,CAPELLA-2,2023-02-11 23:21:00,2023-02-11 23:26:00,0 days 00:05:00,300.0,21,-165
21N165E,CAPELLA-2,2023-02-12 00:56:00,2023-02-12 01:06:00,0 days 00:10:00,600.0,21,-165
21N165E,CAPELLA-2,2023-02-12 02:32:00,2023-02-12 02:41:00,0 days 00:09:00,540.0,21,-165
21N165E,CAPELLA-2,2023-02-12 15:44:00,2023-02-12 15:54:00,0 days 00:10:00,600.0,21,-165
21N165E,CAPELLA-2,2023-02-12 17:21:00,2023-02-12 17:29:00,0 days 00:08:00,480.0,21,-165
21N165E,CAPELLA-2,2023-02-12 23:52:00,2023-02-13 00:00:00,0 days 00:08:00,480.0,21,-165
21N165E,CAPELLA-2,2023-02-13 01:27:00,2023-02-13 01:37:00,0 days 00:10:00,600.0,21,-165
21N165E,CAPELLA-2,2023-02-13 14:40:00,2023-02-13 14:48:00,0 days 00:08:00,480.0,21,-165
