GEO,SAT_NAME,ACCESS_START,ACCESS_END,DURATION,DURATION_SECONDS,LAT,LON
17N151E,CAPELLA-2,2023-02-01 03:46:00,2023-02-01 03:51:00,0 days 00:05:00,300.0,17,-151
17N151E,CAPELLA-2,2023-02-01 05:21:00,2023-02-01 05:31:00,0 days 00:10:00,600.0,17,-151
17N151E,CAPELLA-2,2023-02-01 06:58:00,2023-02-01 07:07:00,0 days 00:09:00,540.0,17,-151
17N151E,CAPELLA-2,2023-02-01 18:37:00,2023-02-01 18:46:00,0 days 00:09:00,540.0,17,-151
17N151E,CAPELLA-2,2023-02-01 20:13:00,2023-02-01 20:23:00,0 days 00:10:00,600.0,17,-151
17N151E,CAPELLA-2,2023-02-01 21:53:00,2023-02-01 21:58:00,0 days 00:05:00,300.0,17,-151
17N151E,CAPELLA-2,2023-02-02 04:25:00,2023-02-02 04:35:00,0 days 00:10:00,600.0,17,-151
17N151E,CAPELLA-2,2023-02-02 06:02:00,2023-02-02 06:12:00,0 days 00:10:00,600.0,17,-151
17N151E,CAPELLA-2,2023-02-02 17:43:00,2023-02-02 17:48:00,0 days 00:05:00,300.0,17,-151
17N151E,CAPELLA-2,2023-02-02 19:17:00,2023-02-02 19:27:00,0 days 00:10:00,600.0,17,-151
17N151E,CAPELLA-2,2023-02-02 20:55:00,2023-02-02 21:03:00,0 days 00:08:00,480.0,17,-151
17N151E,CAPELLA-2,2023-02-03 03:30:00,2023-02-03 03:38:00,0 days 00:08:00,480.0,17,-151
17N151E,CAPELLA-2,2023-02-03 05:05:00,2023-02-03 05:16:00,0 days 00:11:00,660.0,17,-151
17N151E,CAPELLA-2,2023-02-03 06:46:00,2023-02-03 06:48:00,0 days 00:02:00,120.0,17,-151
17N151E,CAPELLA-2,2023-02-03 18:20:00,2023-02-03 18:30:00,0 days 00:10:00,600.0,17,-151
17N151E,CAPELLA-2,2023-02-03 19:57:00,2023-02-03 20:07:00,0 days 00:10:00,600.0,17,-151
17N151E,CAPELLA-2,2023-02-04 02:34:00,2023-02-04 02:39:00,0 days 00:05:00,300.0,17,-151
17N151E,CAPELLA-2,2023-02-04 04:09:00,2023-02-04 04:19:00,0 days 00:10:00,600.0,17,-151
17N151E,CAPELLA-2,2023-02-04 05:46:00,2023-02-04 05:54:00,0 days 00:08:00,480.0,17,-151
17N151E,CAPELLA-2,2023-02-04 17:24:00,2023-02-04 17:33:00,0 days 00:09:00,540.0,17,-151
17N151E,CAPELLA-2,2023-02-04 19:00:00,2023-02-04 19:10:00,0 days 00:10:00,600.0,17,-151
17N151E,CAPELLA-2,2023-02-04 20:40:00,2023-02-04 20:44:00,0 days 00:04:00,240.0,17,-151
17N151E,CAPELLA-2,2023-02-05 03:11:00,2023-02-05 03:21:00,0 days 00:10:00,600.0,17,-151
17N151E,CAPELLA-2,2023-02-05 04:48:00,2023-02-05 04:58:00,0 days 00:10:00,600.0,17,-151
17N151E,CAPELLA-2,2023-02-05 16:28:00,2023-02-05 16:33:00,0 days 00:05:00,300.0,17,-151
17N151E,CAPELLA-2,2023-02-05 18:02:00,2023-02-05 18:12:00,0 days 00:10:00,600.0,17,-151
17N151E,CAPELLA-2,2023-02-05 19:40:00,2023-02-05 19:48:00,0 days 00:08:00,480.0,17,-151
17N151E,CAPELLA-2,2023-02-06 02:14:00,2023-02-06 02:23:00,0 days 00:09:00,540.0,17,-151
17N151E,CAPELLA-2,2023-02-06 03:50:00,2023-02-06 04:00:00,0 days 00:10:00,600.0,17,-151
17N151E,CAPELLA-2,2023-02-06 17:04:00,2023-02-06 17:14:00,0 days 00:10:00,600.0,17,-151
17N151E,CAPELLA-2,2023-02-06 18:41:00,2023-02-06 18:50:00,0 days 00:09:00,540.0,17,-151
17N151E,CAPELLA-2,2023-02-07 01:17:00,2023-02-07 01:23:00,0 days 00:06:00,360.0,17,-151
17N151E,CAPELLA-2,2023-02-07 02:52:00,2023-02-07 03:02:00,0 days 00:10:00,600.0,17,-151
17N151E,CAPELLA-2,2023-02-07 04:29:00,2023-02-07 04:37:00,0 days 00:08:00,480.0,17,-151
17N151E,CAPELLA-2,2023-02-07 16:06:00,2023-02-07 16:15:00,0 days 00:09:00,540.0,17,-151
17N151E,CAPELLA-2,2023-02-07 17:42:00,2023-02-07 17:52:00,0 days 00:10:00,600.0,17,-151
17N151E,CAPELLA-2,2023-02-07 19:22:00,2023-02-07 19:26:00,0 days 00:04:00,240.0,17,-151
17N151E,CAPELLA-2,2023-02-08 01:53:00,2023-02-08 02:02:00,0 days 00:09:00,540.0,17,-151
17N151E,CAPELLA-2,2023-02-08 03:29:00,2023-02-08 03:39:00,0 days 00:10:00,600.0,17,-151
17N151E,CAPELLA-2,2023-02-08 15:08:00,2023-02-08 15:13:00,0 days 00:05:00,300.0,17,-151
17N151E,CAPELLA-2,2023-02-08 16:42:00,2023-02-08 16:52:00,0 days 00:10:00,600.0,17,-151
17N151E,CAPELLA-2,2023-02-08 18:20:00,2023-02-08 18:27:00,0 days 00:07:00,420.0,17,-151
17N151E,CAPELLA-2,2023-02-09 00:53:00,2023-02-09 01:01:00,0 days 00:08:00,480.0,17,-151
17N151E,CAPELLA-2,2023-02-09 02:29:00,2023-02-09 02:39:00,0 days 00:10:00,600.0,17,-151
17N151E,CAPELLA-2,2023-02-09 04:09:00,2023-02-09 04:11:00,0 days 00:02:00,120.0,17,-151
17N151E,CAPELLA-2,2023-02-09 15:42:00,2023-02-09 15:51:00,0 days 00:09:00,540.0,17,-151
17N151E,CAPELLA-2,2023-02-09 17:18:00,2023-02-09 17:27:00,0 days 00:09:00,540.0,17,-151
17N151E,CAPELLA-2,2023-02-09 23:53:00,2023-02-09 23:59:00,0 days 00:06:00,360.0,17,-151
17N151E,CAPELLA-2,2023-02-10 01:28:00,2023-02-10 01:38:00,0 days 00:10:00,600.0,17,-151
17N151E,CAPELLA-2,2023-02-10 03:05:00,2023-02-10 03:13:00,0 days 00:08:00,480.0,17,-151
17N151E,CAPELLA-2,2023-02-10 14:41:00,2023-02-10 14:49:00,0 days 00:08:00,480.0,17,-151
17N151E,CAPELLA-2,2023-02-10 16:16:00,2023-02-10 16:26:00,0 days 00:10:00,600.0,17,-151
17N151E,CAPELLA-2,2023-02-10 17:56:00,2023-02-10 18:00:00,0 days 00:04:00,240.0,17,-151
17N151E,CAPELLA-2,2023-02-11 00:26:00,2023-02-11 00:36:00,0 days 00:10:00,600.0,17,-151
17N151E,CAPELLA-2,2023-02-11 02:02:00,2023-02-11 02:12:00,0 days 00:10:00,600.0,17,-151
17N151E,CAPELLA-2,2023-02-11 13:42:00,2023-02-11 13:43:00,0 days 00:01:00,60.0,17,-151
17N151E,CAPELLA-2,2023-02-11 15:13:00,2023-02-11 15:23:00,0 days 00:10:00,600.0,17,-151
17N151E,CAPELLA-2,2023-02-11 16:51:00,2023-02-11 16:59:00,0 days 00:08:00,480.0,17,-151
17N151E,CAPELLA-2,2023-02-11 23:24:00,2023-02-11 23:31:00,0 days 00:07:00,420.0,17,-151
17N151E,CAPELLA-2,2023-02-12 00:59:00,2023-02-12 01:09:00,0 days 00:10:00,600.0,17,-151
17N151E,CAPELLA-2,2023-02-12 02:38:00,2023-02-12 02:42:00,0 days 00:04:00,240.0,17,-151
17N151E,CAPELLA-2,2023-02-12 14:10:00,2023-02-12 14:19:00,0 days 00:09:00,540.0,17,-151
17N151E,CAPELLA-2,2023-02-12 15:46:00,2023-02-12 15:55:00,0 days 00:09:00,540.0,17,-151
17N151E,CAPELLA-2,2023-02-12 22:22:00,2023-02-12 22:24:00,0 days 00:02:00,120.0,17,-151
17N151E,CAPELLA-2,2023-02-12 23:55:00,2023-02-13 00:05:00,0 days 00:10:00,600.0,17,-151
17N151E,CAPELLA-2,2023-02-13 01:31:00,2023-02-13 01:40:00,0 days 00:09:00,540.0,17,-151
17N151E,CAPELLA-2,2023-02-13 13:07:00,2023-02-13 13:13:00,0 days 00:06:00,360.0,17,-151
17N151E,CAPELLA-2,2023-02-13 14:40:00,2023-02-13 14:50:00,0 days 00:10:00,600.0,17,-151
17N151E,CAPELLA-2,2023-02-13 16:19:00,2023-02-13 16:25:00,0 days 00:06:00,360.0,17,-151
17N151E,CAPELLA-2,2023-02-13 22:50:00,2023-02-13 22:58:00,0 days 00:08:00,480.0,17,-151
17N151E,CAPELLA-2,2023-02-14 00:25:00,2023-02-14 00:35:00,0 days 00:10:00,600.0,17,-151
17N151E,CAPELLA-2,2023-02-14 13:34:00,2023-02-14 13:44:00,0 days 00:10:00,600.0,17,-151
17N151E,CAPELLA-2,2023-02-14 15:11:00,2023-02-14 15:19:00,0 days 00:08:00,480.0,17,-151
17N151E,CAPELLA-2,2023-02-14 21:44:00,2023-02-14 21:49:00,0 days 00:05:00,300.0,17,-151
17N151E,CAPELLA-2,2023-02-14 23:18:00,2023-02-14 23:28:00,0 days 00:10:00,600.0,17,-151
17N151E,CAPELLA-2,2023-02-15 00:55:00,2023-02-15 01:02:00,0 days 00:07:00,420.0,17,-151
17N151E,CAPELLA-2,2023-02-15 12:28:00,2023-02-15 12:35:00,0 days 00:07:00,420.0,17,-151
17N151E,CAPELLA-2,2023-02-15 14:02:00,2023-02-15 14:12:00,0 days 00:10:00,600.0,17,-151
17N151E,CAPELLA-2,2023-02-15 15:42:00,2023-02-15 15:45:00,0 days 00:03:00,180.0,17,-151
